Category,States/UT's,Districts,No. of CSCs,Female,Male,General,OBC,SC,ST,Total,Cases per CSC
Case Registered,Andaman and Nicobar,Nicobar,5,615,852,557,315,546,49,1467,
Case Registered,Andaman and Nicobar,North and Middle Andaman,37,765,1114,199,187,1436,57,1879,
Case Registered,Andaman and Nicobar,South Andaman,31,340,251,42,89,430,30,591,
Case Registered,Andhra Pradesh,Alluri Sitharama Raju,430,6370,6828,3585,4660,3176,1777,13198,
Case Registered,Andhra Pradesh,Anakapalli,646,6311,6267,3532,4196,4347,503,12578,
Case Registered,Andhra Pradesh,Anantapur,577,10050,21628,9189,8651,12245,1593,31678,
Case Registered,Andhra Pradesh,Annamayya,501,2039,1181,1173,776,1118,153,3220,
Case Registered,Andhra Pradesh,Bapatla,461,1756,1960,1729,680,1120,187,3716,
Case Registered,Andhra Pradesh,Chittoor,724,24254,12256,19944,8818,7115,633,36510,
Case Registered,Andhra Pradesh,East Godavari,300,5908,7332,7032,3230,2370,608,13240,
Case Registered,Andhra Pradesh,Eluru,572,345,507,423,199,210,20,852,
Case Registered,Andhra Pradesh,Guntur,258,21371,13942,8831,13189,10245,3048,35313,
Case Registered,Andhra Pradesh,Kakinada,385,775,947,815,445,426,36,1722,
Case Registered,Andhra Pradesh,Konaseema,385,535,576,380,541,163,27,1111,
Case Registered,Andhra Pradesh,Krishna,491,5518,7115,5842,2893,3526,372,12633,
Case Registered,Andhra Pradesh,Kurnool,484,17867,22481,27116,6569,3771,2892,40348,
Case Registered,Andhra Pradesh,Nandyal,489,493,1434,1192,496,225,14,1927,
Case Registered,Andhra Pradesh,NTR,288,1674,3340,1570,1297,2025,122,5014,
Case Registered,Andhra Pradesh,Palnadu,527,1343,2791,2142,747,758,487,4134,
Case Registered,Andhra Pradesh,Parvathipuram Manyam,452,446,965,252,742,265,152,1411,
Case Registered,Andhra Pradesh,Prakasam,730,8765,9790,10959,3607,3607,382,18555,
Case Registered,Andhra Pradesh,Spsr Nellore,722,5505,4151,6201,1096,1933,426,9656,
Case Registered,Andhra Pradesh,Sri Sathya Sai,467,447,1498,803,526,561,55,1945,
Case Registered,Andhra Pradesh,Srikakulam,917,4321,6680,2116,3600,2826,2459,11001,
Case Registered,Andhra Pradesh,Tirupati,774,4909,3206,2348,5115,571,81,8115,
Case Registered,Andhra Pradesh,Visakhapatnam,79,6137,9863,6709,3020,2467,3804,16000,
Case Registered,Andhra Pradesh,Vizianagaram,777,10652,15291,5446,16460,2574,1463,25943,
Case Registered,Andhra Pradesh,West Godavari,368,2885,2600,2724,2205,466,90,5485,
Case Registered,Andhra Pradesh,Y.S.R.,557,4271,6834,5836,4025,1130,114,11105,
Case Registered,Arunachal Pradesh,Anjaw,41,1034,669,380,830,433,60,1703,
Case Registered,Arunachal Pradesh,Changlang,102,4867,4153,1885,1732,4209,1194,9020,
Case Registered,Arunachal Pradesh,Dibang Valley,21,1657,831,286,1022,1024,156,2488,
Case Registered,Arunachal Pradesh,East Kameng,112,1153,556,225,437,879,168,1709,
Case Registered,Arunachal Pradesh,East Siang,94,848,275,198,255,625,45,1123,
Case Registered,Arunachal Pradesh,Kamle,57,0,0,0,0,0,0,0,
Case Registered,Arunachal Pradesh,KraDaadi,78,50,40,2,9,19,60,90,
Case Registered,Arunachal Pradesh,KurungKumey,75,650,1038,59,4,135,1490,1688,
Case Registered,Arunachal Pradesh,Leparada,49,3,9,0,9,0,3,12,
Case Registered,Arunachal Pradesh,Lohit,32,87,84,133,10,19,9,171,
Case Registered,Arunachal Pradesh,Longding,48,9,14,3,0,20,0,23,
Case Registered,Arunachal Pradesh,Lower Dibang Valley,60,24,15,3,12,12,12,39,
Case Registered,Arunachal Pradesh,Lower Siang,51,0,0,0,0,0,0,0,
Case Registered,Arunachal Pradesh,Lower Subansiri,164,160,181,8,3,243,87,341,
Case Registered,Arunachal Pradesh,Namsai,103,8,5,6,1,0,6,13,
Case Registered,Arunachal Pradesh,PakkeKessang,28,0,0,0,0,0,0,0,
Case Registered,Arunachal Pradesh,Papum Pare,81,439,299,63,99,199,377,738,
Case Registered,Arunachal Pradesh,Shi Yomi,34,0,0,0,0,0,0,0,
Case Registered,Arunachal Pradesh,Siang,78,0,0,0,0,0,0,0,
Case Registered,Arunachal Pradesh,Tawang,80,87,53,57,6,73,4,140,
Case Registered,Arunachal Pradesh,Tirap,56,60,19,33,6,26,14,79,
Case Registered,Arunachal Pradesh,Upper Siang,62,219,51,167,43,57,3,270,
Case Registered,Arunachal Pradesh,Upper Subansiri,130,305,775,12,169,896,3,1080,
Case Registered,Arunachal Pradesh,West Kameng,98,54,14,13,8,43,4,68,
Case Registered,Arunachal Pradesh,West Siang,72,7,16,1,0,20,2,23,
Case Registered,Assam,Bajali,33,10355,2900,4128,6394,2398,335,13255,
Case Registered,Assam,Baksa,41,4464,5837,1797,4702,2768,1034,10301,
Case Registered,Assam,Barpeta,86,4368,8897,6033,3733,2930,569,13265,
Case Registered,Assam,Biswanath,76,3023,3764,904,3219,2247,417,6787,
Case Registered,Assam,Bongaigaon,65,5322,5205,4011,4321,1868,327,10527,
Case Registered,Assam,Cachar,105,2202,2185,1392,1560,1316,119,4387,
Case Registered,Assam,Charaideo,36,1192,480,108,626,864,74,1672,
Case Registered,Assam,Chirang,37,565,923,584,290,358,256,1488,
Case Registered,Assam,Darrang,75,5618,17711,20424,1815,847,243,23329,
Case Registered,Assam,Dhemaji,65,2312,3666,488,1782,724,2984,5978,
Case Registered,Assam,Dhubri,92,13727,23496,34664,1566,824,169,37223,
Case Registered,Assam,Dibrugarh,93,1439,1393,1389,850,422,171,2832,
Case Registered,Assam,Dima Hasao,41,168,109,20,72,146,39,277,
Case Registered,Assam,Goalpara,81,6039,16847,21163,474,1003,246,22886,
Case Registered,Assam,Golaghat,92,783,1197,1072,562,200,146,1980,
Case Registered,Assam,Hailakandi,62,1629,4764,5043,687,551,112,6393,
Case Registered,Assam,Hojai,67,2289,3845,3545,483,1774,332,6134,
Case Registered,Assam,Jorhat,90,900,1136,643,751,520,122,2036,
Case Registered,Assam,Kamrup,106,5824,17907,20103,877,740,2011,23731,
Case Registered,Assam,Kamrup Metro,22,142,192,118,88,106,22,334,
Case Registered,Assam,Karbi Anglong,33,442,805,68,393,291,495,1247,
Case Registered,Assam,Karimganj,96,71,181,117,76,58,1,252,
Case Registered,Assam,Kokrajhar,29,2127,5263,4977,1560,501,352,7390,
Case Registered,Assam,Lakhimpur,81,1474,2761,2007,1641,290,297,4235,
Case Registered,Assam,Majuli,20,79,155,34,96,45,59,234,
Case Registered,Assam,Morigaon,85,1435,2759,3177,228,737,52,4194,
Case Registered,Assam,Nagaon,98,590,1377,434,154,1178,201,1967,
Case Registered,Assam,Nalbari,65,770,2470,2763,349,111,17,3240,
Case Registered,Assam,Sivasagar,82,4398,2483,4235,2026,466,154,6881,
Case Registered,Assam,Sonitpur,82,1823,3351,2770,1699,429,276,5174,
Case Registered,Assam,South SalmaraMankachar,35,1371,3498,4818,13,37,1,4869,
Case Registered,Assam,Tinsukia,85,252,275,127,184,173,43,527,
Case Registered,Assam,Udalguri,20,1236,1476,1485,433,210,584,2712,
Case Registered,Assam,West Karbi Anglong,24,134,495,24,194,180,231,629,
Case Registered,Assam,Tamulpur,1,28,37,9,36,17,3,65,
Case Registered,Bihar,Araria,218,8037,18250,2948,16792,5276,1271,26287,
Case Registered,Bihar,Arwal,65,4596,3237,1450,1955,3905,523,7833,
Case Registered,Bihar,Aurangabad (Bihar),204,8589,9627,1103,5229,9281,2603,18216,
Case Registered,Bihar,Banka,185,11099,8177,3325,8562,6753,636,19276,
Case Registered,Bihar,Begusarai,229,9931,4961,2328,5452,6638,474,14892,
Case Registered,Bihar,Bhagalpur,242,3970,5021,1429,5099,2093,370,8991,
Case Registered,Bihar,Bhojpur,228,3621,4615,1463,4747,1765,261,8236,
Case Registered,Bihar,Buxar,142,1032,999,272,874,824,61,2031,
Case Registered,Bihar,Darbhanga,324,18793,11899,1729,7295,20673,995,30692,
Case Registered,Bihar,Gaya,332,12069,8870,1848,6369,10055,2667,20939,
Case Registered,Bihar,Gopalganj,234,2731,4485,1645,4315,1019,237,7216,
Case Registered,Bihar,Jamui,153,2836,7099,1228,5444,2315,948,9935,
Case Registered,Bihar,Jehanabad,93,633,1396,354,1309,343,23,2029,
Case Registered,Bihar,Kaimur (Bhabua),149,2361,7016,1885,3203,3583,706,9377,
Case Registered,Bihar,Katihar,236,24156,30570,5861,14220,30502,4143,54726,
Case Registered,Bihar,Khagaria,129,60695,13428,3629,21420,45232,3842,74123,
Case Registered,Bihar,Kishanganj,126,1661,2020,879,1680,771,351,3681,
Case Registered,Bihar,Lakhisarai,80,2539,967,347,1243,1850,66,3506,
Case Registered,Bihar,Madhepura,171,6517,4882,981,4031,5892,495,11399,
Case Registered,Bihar,Madhubani,398,4620,5015,1735,4619,2872,409,9635,
Case Registered,Bihar,Munger,101,1945,920,347,1581,736,201,2865,
Case Registered,Bihar,Muzaffarpur,385,14230,19503,3195,12736,12282,5520,33733,
Case Registered,Bihar,Nalanda,249,4612,6154,5105,4055,1531,75,10766,
Case Registered,Bihar,Nawada,187,2173,3845,676,2891,2100,351,6018,
Case Registered,Bihar,Pashchim Champaran,315,2366,5045,1336,3659,1826,590,7411,
Case Registered,Bihar,Patna,322,4932,5407,806,5570,3630,333,10339,
Case Registered,Bihar,Purbi Champaran,405,4080,3722,813,3898,2637,454,7802,
Case Registered,Bihar,Purnia,246,16404,26446,4039,26132,9287,3392,42850,
Case Registered,Bihar,Rohtas,245,1865,4002,389,3642,1761,75,5867,
Case Registered,Bihar,Saharsa,151,2249,4973,507,3454,2960,301,7222,
Case Registered,Bihar,Samastipur,381,6795,4020,1220,5507,3922,166,10815,
Case Registered,Bihar,Saran,323,1894,2445,256,2897,1104,82,4339,
Case Registered,Bihar,Sheikhpura,54,1423,2264,777,1807,1035,68,3687,
Case Registered,Bihar,Sheohar,53,757,566,310,501,439,73,1323,
Case Registered,Bihar,Sitamarhi,270,4535,14698,4074,10327,3945,887,19233,
Case Registered,Bihar,Siwan,293,5406,3752,553,2365,4971,1269,9158,
Case Registered,Bihar,Supaul,181,2057,1793,393,2427,937,93,3850,
Case Registered,Bihar,Vaishali,286,15529,9082,2316,3655,13926,4714,24611,
Case Registered,Chandigarh,Chandigarh,12,3803,2324,929,951,3716,531,6127,
Case Registered,Chhattisgarh,Balod,437,35774,14632,8068,27577,11647,3114,50406,
Case Registered,Chhattisgarh,Baloda Bazar,520,16687,9931,2787,13965,8061,1805,26618,
Case Registered,Chhattisgarh,Balrampur ( Chhattisgarh),468,22444,22890,5854,21900,11232,6348,45334,
Case Registered,Chhattisgarh,Bastar,433,9136,3598,1466,6234,3104,1930,12734,
Case Registered,Chhattisgarh,Bemetara,429,10205,3408,1214,7398,4242,759,13613,
Case Registered,Chhattisgarh,Bijapur,170,3897,3398,1204,2673,1843,1575,7295,
Case Registered,Chhattisgarh,Bilaspur (Chhattisgarh),812,3128,2623,1062,2598,1395,696,5751,
Case Registered,Chhattisgarh,Dantewada,143,1103,1381,230,1033,611,610,2484,
Case Registered,Chhattisgarh,Dhamtari,370,2808,4163,442,4905,1114,510,6971,
Case Registered,Chhattisgarh,Durg,300,3942,5373,2038,4948,1841,488,9315,
Case Registered,Chhattisgarh,Gariyaband,336,1360,3875,279,2973,1022,961,5235,
Case Registered,Chhattisgarh,GaurellaPendraMarwahi,166,1834,2500,398,1980,442,1514,4334,
Case Registered,Chhattisgarh,Janjgir-Champa,657,6969,13873,491,8792,7866,3693,20842,
Case Registered,Chhattisgarh,Jashpur,444,1272,3915,200,1844,1617,1526,5187,
Case Registered,Chhattisgarh,Kabirdham (Kawardha),468,1443,5930,921,3800,1201,1451,7373,
Case Registered,Chhattisgarh,Kanker,454,2650,6779,703,3881,1039,3806,9429,
Case Registered,Chhattisgarh,Kondagaon,383,1490,3598,179,946,889,3074,5088,
Case Registered,Chhattisgarh,Korba,412,20258,38751,2207,18126,17468,21208,59009,
Case Registered,Chhattisgarh,Korea,384,3277,4132,1189,3065,2091,1064,7409,
Case Registered,Chhattisgarh,Mahasamund,551,32026,66960,3177,38352,23606,33851,98986,
Case Registered,Chhattisgarh,Mungeli,370,671,3266,344,1251,1990,352,3937,
Case Registered,Chhattisgarh,Narayanpur,104,1860,1848,488,1101,642,1477,3708,
Case Registered,Chhattisgarh,Raigarh (Chhattisgarh),549,865,1577,173,851,614,804,2442,
Case Registered,Chhattisgarh,Raipur,410,6882,16119,4893,11634,4500,1974,23001,
Case Registered,Chhattisgarh,Rajnandgaon,813,15597,24645,1630,16569,6277,15766,40242,
Case Registered,Chhattisgarh,Sukma,153,4484,3989,946,1302,2812,3413,8473,
Case Registered,Chhattisgarh,Surajpur,480,1189,1459,525,1000,697,426,2648,
Case Registered,Chhattisgarh,Surguja,433,4382,8810,551,1378,4229,7034,13192,
Case Registered,Chhattisgarh,KhairgarhChhuikhadanGandai,1,0,0,0,0,0,0,0,
Case Registered,Chhattisgarh,ManendragarhChirimiriBharatpur,1,0,0,0,0,0,0,0,
Case Registered,Chhattisgarh,MohlaManpurAmbagarhChouki,1,0,0,0,0,0,0,0,
Case Registered,Chhattisgarh,Sakti,1,92,4,13,64,6,13,96,
Case Registered,Chhattisgarh,SarangarhBilaigarh,1,0,0,0,0,0,0,0,
Case Registered,Dadra And Nagar Haveli & Daman & Diu,Dadra And Nagar Haveli,20,2690,7327,7209,1098,1028,682,10017,
Case Registered,Dadra And Nagar Haveli & Daman & Diu,Daman,11,155,181,248,23,58,7,336,
Case Registered,Dadra And Nagar Haveli & Daman & Diu,Diu,4,58,43,91,5,5,0,101,
Case Registered,Delhi,Central,1,530,637,217,370,561,19,1167,
Case Registered,Delhi,East,1,874,815,282,955,391,61,1689,
Case Registered,Delhi,New Delhi,1,1050,984,225,1425,329,55,2034,
Case Registered,Delhi,North,1,536,644,127,605,422,26,1180,
Case Registered,Delhi,North East,1,457,1108,614,544,375,32,1565,
Case Registered,Delhi,North West,1,640,621,122,498,621,20,1261,
Case Registered,Delhi,Shahdara,1,191,419,6,341,244,19,610,
Case Registered,Delhi,South,1,112,210,73,126,121,2,322,
Case Registered,Delhi,South East,1,152,140,93,86,112,1,292,
Case Registered,Delhi,South West,1,154,89,59,51,132,1,243,
Case Registered,Delhi,West,1,33,62,35,17,42,1,95,
Case Registered,Goa,North Goa,102,2477,4330,2435,788,3162,422,6807,
Case Registered,Goa,South Goa,87,1698,2526,2498,458,1169,99,4224,
Case Registered,Gujarat,Ahmadabad,453,4257,4640,1869,3359,2687,982,8897,
Case Registered,Gujarat,Amreli,598,3184,3680,986,1700,2018,2160,6864,
Case Registered,Gujarat,Anand,351,2440,3122,693,859,1200,2810,5562,
Case Registered,Gujarat,Arvalli,323,2435,4005,916,2540,1167,1817,6440,
Case Registered,Gujarat,Banas Kantha,896,7293,17243,2653,12275,6127,3481,24536,
Case Registered,Gujarat,Bharuch,541,594,837,355,271,355,450,1431,
Case Registered,Gujarat,Bhavnagar,660,1133,3462,687,3028,681,199,4595,
Case Registered,Gujarat,Botad,180,336,3070,166,2675,308,257,3406,
Case Registered,Gujarat,Chhotaudepur,342,158,274,31,20,178,203,432,
Case Registered,Gujarat,Dang,92,4514,7683,20,11,2606,9560,12197,
Case Registered,Gujarat,Devbhumi Dwarka,240,580,1664,329,376,798,741,2244,
Case Registered,Gujarat,Dohad,558,6199,21394,735,1309,5808,19741,27593,
Case Registered,Gujarat,Gandhinagar,285,3378,8091,1117,1614,7570,1168,11469,
Case Registered,Gujarat,Gir Somnath,329,1265,14800,659,5532,8944,930,16065,
Case Registered,Gujarat,Jamnagar,416,2428,4351,1928,1947,1989,915,6779,
Case Registered,Gujarat,Junagadh,491,5292,19736,5631,15009,1539,2849,25028,
Case Registered,Gujarat,Kachchh,631,2977,1719,394,1082,2818,402,4696,
Case Registered,Gujarat,Kheda,520,518,3434,2964,594,324,70,3952,
Case Registered,Gujarat,Mahesana,609,20708,25961,2258,4892,1010,38509,46669,
Case Registered,Gujarat,Mahisagar,353,2992,3881,1090,3816,1070,897,6873,
Case Registered,Gujarat,Morbi,349,544,266,336,398,45,31,810,
Case Registered,Gujarat,Narmada,221,3548,11908,638,614,1591,12613,15456,
Case Registered,Gujarat,Navsari,369,19358,27225,4021,5265,4061,33236,46583,
Case Registered,Gujarat,Panch Mahals,494,601,1313,267,476,119,1052,1914,
Case Registered,Gujarat,Patan,476,940,3159,299,1357,2261,182,4099,
Case Registered,Gujarat,Porbandar,148,639,3017,517,2872,117,150,3656,
Case Registered,Gujarat,Rajkot,590,2304,8640,4125,5261,1050,508,10944,
Case Registered,Gujarat,Sabar Kantha,482,369,2720,267,1605,801,416,3089,
Case Registered,Gujarat,Surat,551,1026,2325,1279,846,338,888,3351,
Case Registered,Gujarat,Surendranagar,540,1681,13490,2532,11824,645,170,15171,
Case Registered,Gujarat,Tapi,291,3445,4267,220,595,494,6403,7712,
Case Registered,Gujarat,Vadodara,533,13810,60094,23538,5707,14216,30443,73904,
Case Registered,Gujarat,Valsad,379,10470,9983,3560,3283,2870,10740,20453,
Case Registered,Haryana,Ambala,400,8183,6243,3634,2643,6899,1250,14426,
Case Registered,Haryana,Bhiwani,310,9262,13642,4672,4222,12165,1845,22904,
Case Registered,Haryana,Charki Dadri,164,2686,1555,1416,1469,1191,165,4241,
Case Registered,Haryana,Faridabad,100,3506,3823,2099,2704,2225,301,7329,
Case Registered,Haryana,Fatehabad,259,6904,2787,1897,4747,2605,442,9691,
Case Registered,Haryana,Gurugram (Gurgaon),157,1063,1439,643,791,924,144,2502,
Case Registered,Haryana,Hisar,300,665,1885,736,579,1175,60,2550,
Case Registered,Haryana,Jhajjar,247,1128,3006,1635,1145,1309,45,4134,
Case Registered,Haryana,Jind,300,495,2259,1457,649,601,47,2754,
Case Registered,Haryana,Kaithal,277,1143,3900,640,597,3769,37,5043,
Case Registered,Haryana,Karnal,393,631,1332,651,434,812,66,1963,
Case Registered,Haryana,Kurukshetra,402,3218,2803,748,836,1076,3361,6021,
Case Registered,Haryana,Mahendragarh,342,571,3638,1210,1331,1568,100,4209,
Case Registered,Haryana,Mewat (Nuh),325,5846,58686,6406,50771,6341,1014,64532,
Case Registered,Haryana,Palwal,263,1055,3710,1147,1344,2245,29,4765,
Case Registered,Haryana,Panchkula,135,711,1215,538,666,660,62,1926,
Case Registered,Haryana,Panipat,178,993,2401,598,1429,1262,105,3394,
Case Registered,Haryana,Rewari,365,2396,10042,2835,5983,3468,152,12438,
Case Registered,Haryana,Rohtak,142,7152,8430,4168,2615,8182,617,15582,
Case Registered,Haryana,Sirsa,339,1266,5603,1940,1355,3303,271,6869,
Case Registered,Haryana,Sonipat,318,836,2325,1458,513,1141,49,3161,
Case Registered,Haryana,Yamunanagar,481,2215,3023,774,2110,2224,130,5238,
Case Registered,Himachal Pradesh,Bilaspur (H.P.),165,6772,13905,5337,5439,6729,3172,20677,
Case Registered,Himachal Pradesh,Chamba,287,4638,13300,5578,1784,4178,6398,17938,
Case Registered,Himachal Pradesh,Hamirpur (H.P.),238,4007,5254,4249,1667,3201,144,9261,
Case Registered,Himachal Pradesh,Kangra,760,6184,10112,4376,5566,5230,1124,16296,
Case Registered,Himachal Pradesh,Kinnaur,68,660,1355,155,281,724,855,2015,
Case Registered,Himachal Pradesh,Kullu,202,2585,5283,3561,432,3706,169,7868,
Case Registered,Himachal Pradesh,Lahul And Spiti,23,193,146,18,122,175,24,339,
Case Registered,Himachal Pradesh,Mandi,479,4554,8523,6449,869,5622,137,13077,
Case Registered,Himachal Pradesh,Shimla,355,1563,1998,1576,220,1656,109,3561,
Case Registered,Himachal Pradesh,Sirmaur,230,1722,5072,1922,1910,2872,90,6794,
Case Registered,Himachal Pradesh,Solan,200,2121,3414,2470,384,2554,127,5535,
Case Registered,Himachal Pradesh,Una,219,3627,6045,2715,2299,4315,343,9672,
Case Registered,Jammu and Kashmir,Anantnag,321,28668,49282,43538,17173,12532,4707,77950,
Case Registered,Jammu and Kashmir,Bandipora,140,15689,35508,26829,9774,9396,5198,51197,
Case Registered,Jammu and Kashmir,Baramulla,388,31948,82210,63788,21436,15702,13232,114158,
Case Registered,Jammu and Kashmir,Budgam,296,31949,86062,62236,30354,19103,6318,118011,
Case Registered,Jammu and Kashmir,Doda,233,3528,6150,3454,2030,3520,674,9678,
Case Registered,Jammu and Kashmir,Ganderbal,124,9583,12893,11561,3836,3495,3584,22476,
Case Registered,Jammu and Kashmir,Jammu,303,4225,6874,2766,2281,5415,637,11099,
Case Registered,Jammu and Kashmir,Kathua,248,8257,17486,11362,1327,11527,1527,25743,
Case Registered,Jammu and Kashmir,Kishtwar,136,1744,5601,4690,1209,881,565,7345,
Case Registered,Jammu and Kashmir,Kulgam,172,13714,23454,18606,6263,10255,2044,37168,
Case Registered,Jammu and Kashmir,Kupwara,384,15043,46439,32813,12226,7860,8583,61482,
Case Registered,Jammu and Kashmir,Poonch,222,4848,14259,4344,742,2397,11624,19107,
Case Registered,Jammu and Kashmir,Pulwama,189,12985,22377,22662,2054,9671,975,35362,
Case Registered,Jammu and Kashmir,Rajouri,306,613,2441,915,150,1313,676,3054,
Case Registered,Jammu and Kashmir,Ramban,140,2331,11109,9872,1143,1274,1151,13440,
Case Registered,Jammu and Kashmir,Reasi,149,1714,8754,4888,806,1377,3397,10468,
Case Registered,Jammu and Kashmir,Samba,101,4515,4970,3133,896,4820,636,9485,
Case Registered,Jammu and Kashmir,Shopian,98,3171,12839,12804,1365,945,896,16010,
Case Registered,Jammu and Kashmir,Srinagar,21,2944,5216,6997,349,698,116,8160,
Case Registered,Jammu and Kashmir,Udhampur,222,767,2223,832,311,1444,403,2990,
Case Registered,Jharkhand,Bokaro,239,25602,18023,11459,16036,12749,3381,43625,
Case Registered,Jharkhand,Chatra,152,12276,13467,3859,12950,7206,1728,25743,
Case Registered,Jharkhand,Deoghar,194,8772,2721,3620,4557,2494,822,11493,
Case Registered,Jharkhand,Dhanbad,248,6966,4999,2834,4579,2893,1659,11965,
Case Registered,Jharkhand,Dumka,206,4417,4882,1995,3784,2784,736,9299,
Case Registered,Jharkhand,East Singhbhum,211,11874,22283,1979,5310,5560,21308,34157,
Case Registered,Jharkhand,Garhwa,184,4651,10772,1822,5782,6823,996,15423,
Case Registered,Jharkhand,Giridih,323,29186,54240,5925,54435,19413,3653,83426,
Case Registered,Jharkhand,Godda,193,25271,38603,3465,42221,10722,7466,63874,
Case Registered,Jharkhand,Gumla,152,2016,3655,557,1815,555,2744,5671,
Case Registered,Jharkhand,Hazaribagh,246,4253,10166,2605,8775,2477,562,14419,
Case Registered,Jharkhand,Jamtara,118,996,6570,1063,4988,1154,361,7566,
Case Registered,Jharkhand,Khunti,82,3450,5006,293,941,461,6761,8456,
Case Registered,Jharkhand,Koderma,86,1793,4294,844,4161,1007,75,6087,
Case Registered,Jharkhand,Latehar,114,1361,2929,883,958,1148,1301,4290,
Case Registered,Jharkhand,Lohardaga,65,1860,4827,834,3072,693,2088,6687,
Case Registered,Jharkhand,Pakur,123,18531,16766,2945,28677,2172,1503,35297,
Case Registered,Jharkhand,Palamu,264,1706,6140,478,4564,1901,903,7846,
Case Registered,Jharkhand,Ramgarh,110,2478,3281,631,3158,1403,567,5759,
Case Registered,Jharkhand,Ranchi,292,18351,12836,1649,8465,7371,13702,31187,
Case Registered,Jharkhand,Sahibganj,153,5875,10619,1836,11302,2300,1056,16494,
Case Registered,Jharkhand,SaraikelaKharsawan,128,706,2119,238,1723,182,682,2825,
Case Registered,Jharkhand,Simdega,92,4361,7063,764,2227,1561,6872,11424,
Case Registered,Jharkhand,West Singhbhum,186,886,1692,215,1009,120,1234,2578,
Case Registered,Karnataka,Bagalkot,198,18699,24328,15378,18512,7426,1711,43027,
Case Registered,Karnataka,Belagavi (Belgaum),507,9233,10091,5920,8086,4180,1138,19324,
Case Registered,Karnataka,Bellary,100,5795,6036,2807,3919,4136,969,11831,
Case Registered,Karnataka,Bengaluru Rural,106,3638,2011,2255,1615,1607,172,5649,
Case Registered,Karnataka,Bengaluru Urban,94,2416,1375,960,826,1911,94,3791,
Case Registered,Karnataka,Bidar,185,2067,2185,1279,957,1569,447,4252,
Case Registered,Karnataka,Bijapur ( Vijayapura),213,2852,2679,2633,2066,754,78,5531,
Case Registered,Karnataka,Chamarajanagar,130,5183,7795,3557,4169,4010,1242,12978,
Case Registered,Karnataka,Chik Ballapur,157,1323,851,776,331,859,208,2174,
Case Registered,Karnataka,Chikmagalur,227,9790,6415,6458,5793,3275,679,16205,
Case Registered,Karnataka,Chitradurga,189,16670,14431,14885,4158,8183,3875,31101,
Case Registered,Karnataka,Dakshin Kannad,230,2113,1971,688,1878,1296,222,4084,
Case Registered,Karnataka,Davangere,196,6190,5925,5304,3472,2102,1237,12115,
Case Registered,Karnataka,Dharwad,145,12673,9035,10984,8399,1370,955,21708,
Case Registered,Karnataka,Gadag,122,2876,3068,2757,2385,440,362,5944,
Case Registered,Karnataka,Hassan,267,11161,8834,8460,8360,2837,338,19995,
Case Registered,Karnataka,Haveri,224,3633,3584,3154,2980,686,397,7217,
Case Registered,Karnataka,Kalaburagi (Gulbarga),264,779,3075,1016,836,1821,181,3854,
Case Registered,Karnataka,Kodagu,104,1592,4136,1116,1270,2951,391,5728,
Case Registered,Karnataka,Kolar,156,384,631,407,207,328,73,1015,
Case Registered,Karnataka,Koppal,153,11776,11878,8043,7890,5781,1940,23654,
Case Registered,Karnataka,Mandya,233,6061,3429,3801,4667,790,232,9490,
Case Registered,Karnataka,Mysuru (Mysore),266,9129,8988,5192,7599,3682,1644,18117,
Case Registered,Karnataka,Raichur,179,8341,16072,5342,10921,5240,2910,24413,
Case Registered,Karnataka,Ramanagara,127,4098,2134,3525,1920,746,41,6232,
Case Registered,Karnataka,Shimoga,271,2044,1874,1485,1916,349,168,3918,
Case Registered,Karnataka,Tumkur,330,13255,10804,10224,6706,6445,684,24059,
Case Registered,Karnataka,Udupi,157,6216,6153,2309,4559,5135,366,12369,
Case Registered,Karnataka,Uttara Kannada,231,4240,2861,1308,5198,522,73,7101,
Case Registered,Karnataka,Vijayanagar,137,4624,6697,5560,3789,1121,851,11321,
Case Registered,Karnataka,Yadgir,123,1428,11095,4139,1934,5685,765,12523,
Case Registered,Kerala,Alappuzha,72,1804,1736,1026,817,1526,171,3540,
Case Registered,Kerala,Ernakulam,82,1441,850,528,998,679,86,2291,
Case Registered,Kerala,Idukki,52,1438,1007,502,719,1136,88,2445,
Case Registered,Kerala,Kannur,71,1260,653,417,774,668,54,1913,
Case Registered,Kerala,Kasargod,38,3280,998,554,2013,1522,189,4278,
Case Registered,Kerala,Kollam,68,836,357,194,382,572,45,1193,
Case Registered,Kerala,Kottayam,71,307,312,303,196,94,26,619,
Case Registered,Kerala,Kozhikode,70,507,666,320,700,135,18,1173,
Case Registered,Kerala,Malappuram,94,690,989,282,1195,176,26,1679,
Case Registered,Kerala,Palakkad,88,484,520,230,618,137,19,1004,
Case Registered,Kerala,Pathanamthitta,53,192,209,177,136,76,12,401,
Case Registered,Kerala,Thiruvananthapuram,73,2766,4288,615,1496,4745,198,7054,
Case Registered,Kerala,Thrissur,86,2041,3309,2048,1020,2159,123,5350,
Case Registered,Kerala,Wayanad,23,2903,3735,1790,2308,2134,406,6638,
Case Registered,Ladakh,Kargil,97,780,1461,586,262,210,1183,2241,
Case Registered,Ladakh,Leh Ladakh,95,391,529,212,234,197,277,920,
Case Registered,Lakshadweep,Lakshadweep District,10,1185,1429,323,496,1790,5,2614,
Case Registered,Madhya Pradesh,Agar Malwa,230,25068,17147,8485,14782,13114,5834,42215,
